,일시,재난일어난날
0,1973-01-03,1973-01-03
16,1973-01-04,1973-01-04
18,1973-01-06,1973-01-06
19,1973-01-11,1973-01-11
22,1973-01-12,1973-01-12
27,1973-01-13,1973-01-13
29,1973-01-14,1973-01-14
31,1973-01-15,1973-01-15
32,1973-01-21,1973-01-21
33,1973-01-28,1973-01-28
35,1973-01-30,1973-01-30
38,1973-02-02,1973-02-02
39,1973-02-07,1973-02-07
40,1973-02-08,1973-02-08
45,1973-02-09,1973-02-09
50,1973-02-10,1973-02-10
52,1973-02-11,1973-02-11
53,1973-02-12,1973-02-12
54,1973-02-15,1973-02-15
55,1973-02-24,1973-02-24
56,1973-02-25,1973-02-25
61,1973-03-02,1973-03-02
62,1973-03-03,1973-03-03
63,1973-03-06,1973-03-06
64,1973-03-07,1973-03-07
65,1973-11-20,1973-11-20
66,1973-11-21,1973-11-21
67,1973-11-22,1973-11-22
69,1973-12-04,1973-12-04
70,1973-12-05,1973-12-05
76,1973-12-07,1973-12-07
79,1973-12-08,1973-12-08
87,1973-12-09,1973-12-09
89,1973-12-11,1973-12-11
96,1973-12-17,1973-12-17
105,1973-12-18,1973-12-18
106,1973-12-19,1973-12-19
111,1973-12-22,1973-12-22
117,1973-12-23,1973-12-23
126,1973-12-24,1973-12-24
167,1973-12-25,1973-12-25
197,1973-12-26,1973-12-26
226,1973-12-27,1973-12-27
228,1973-12-29,1973-12-29
249,1973-12-30,1973-12-30
255,1974-01-01,1974-01-01
261,1974-01-02,1974-01-02
262,1974-01-03,1974-01-03
264,1974-01-05,1974-01-05
265,1974-01-06,1974-01-06
266,1974-01-07,1974-01-07
269,1974-01-12,1974-01-12
272,1974-01-13,1974-01-13
280,1974-01-14,1974-01-14
283,1974-01-16,1974-01-16
291,1974-01-17,1974-01-17
295,1974-01-18,1974-01-18
310,1974-01-19,1974-01-19
320,1974-01-20,1974-01-20
323,1974-01-22,1974-01-22
324,1974-01-23,1974-01-23
338,1974-01-24,1974-01-24
377,1974-01-25,1974-01-25
407,1974-01-26,1974-01-26
439,1974-01-27,1974-01-27
458,1974-01-28,1974-01-28
492,1974-01-29,1974-01-29
520,1974-01-30,1974-01-30
526,1974-01-31,1974-01-31
534,1974-02-01,1974-02-01
551,1974-02-02,1974-02-02
567,1974-02-03,1974-02-03
577,1974-02-08,1974-02-08
578,1974-02-09,1974-02-09
597,1974-02-10,1974-02-10
608,1974-02-11,1974-02-11
619,1974-02-12,1974-02-12
641,1974-02-13,1974-02-13
660,1974-02-24,1974-02-24
661,1974-02-25,1974-02-25
663,1974-02-26,1974-02-26
702,1974-02-27,1974-02-27
718,1974-02-28,1974-02-28
724,1974-03-12,1974-03-12
725,1974-03-13,1974-03-13
729,1974-11-14,1974-11-14
730,1974-11-15,1974-11-15
731,1974-12-04,1974-12-04
732,1974-12-05,1974-12-05
733,1974-12-06,1974-12-06
738,1974-12-07,1974-12-07
739,1974-12-08,1974-12-08
740,1974-12-09,1974-12-09
741,1974-12-12,1974-12-12
742,1974-12-14,1974-12-14
743,1974-12-15,1974-12-15
758,1974-12-16,1974-12-16
760,1974-12-19,1974-12-19
771,1974-12-20,1974-12-20
776,1974-12-21,1974-12-21
785,1974-12-22,1974-12-22
791,1974-12-23,1974-12-23
798,1974-12-25,1974-12-25
802,1974-12-26,1974-12-26
806,1974-12-27,1974-12-27
808,1975-01-03,1975-01-03
809,1975-01-06,1975-01-06
810,1975-01-10,1975-01-10
811,1975-01-11,1975-01-11
815,1975-01-12,1975-01-12
826,1975-01-13,1975-01-13
830,1975-01-14,1975-01-14
842,1975-01-16,1975-01-16
846,1975-01-17,1975-01-17
858,1975-01-18,1975-01-18
870,1975-01-19,1975-01-19
880,1975-01-20,1975-01-20
898,1975-01-21,1975-01-21
909,1975-01-28,1975-01-28
910,1975-01-29,1975-01-29
923,1975-01-30,1975-01-30
926,1975-01-31,1975-01-31
940,1975-02-08,1975-02-08
942,1975-02-09,1975-02-09
946,1975-02-10,1975-02-10
949,1975-02-11,1975-02-11
957,1975-02-16,1975-02-16
960,1975-02-17,1975-02-17
964,1975-02-18,1975-02-18
966,1975-02-19,1975-02-19
968,1975-02-21,1975-02-21
969,1975-02-22,1975-02-22
974,1975-02-23,1975-02-23
989,1975-02-26,1975-02-26
990,1975-03-13,1975-03-13
991,1975-03-25,1975-03-25
992,1975-11-30,1975-11-30
993,1975-12-11,1975-12-11
995,1975-12-12,1975-12-12
1001,1975-12-13,1975-12-13
1009,1975-12-14,1975-12-14
1014,1975-12-15,1975-12-15
1021,1975-12-16,1975-12-16
1023,1975-12-17,1975-12-17
1038,1975-12-18,1975-12-18
1046,1975-12-19,1975-12-19
1050,1975-12-22,1975-12-22
1051,1975-12-23,1975-12-23
1068,1975-12-24,1975-12-24
1094,1975-12-25,1975-12-25
1101,1975-12-26,1975-12-26
1118,1975-12-27,1975-12-27
1133,1975-12-28,1975-12-28
1150,1975-12-29,1975-12-29
1164,1975-12-30,1975-12-30
1170,1975-12-31,1975-12-31
1174,1976-01-06,1976-01-06
1178,1976-01-09,1976-01-09
1180,1976-01-10,1976-01-10
1205,1976-01-11,1976-01-11
1217,1976-01-12,1976-01-12
1245,1976-01-13,1976-01-13
1251,1976-01-15,1976-01-15
1271,1976-01-16,1976-01-16
1286,1976-01-18,1976-01-18
1293,1976-01-19,1976-01-19
1303,1976-01-20,1976-01-20
1341,1976-01-21,1976-01-21
1376,1976-01-22,1976-01-22
1395,1976-01-23,1976-01-23
1431,1976-01-24,1976-01-24
1464,1976-01-26,1976-01-26
1466,1976-01-27,1976-01-27
1486,1976-01-28,1976-01-28
1494,1976-01-30,1976-01-30
1509,1976-01-31,1976-01-31
1511,1976-02-06,1976-02-06
1512,1976-02-07,1976-02-07
1513,1976-02-11,1976-02-11
1514,1976-02-12,1976-02-12
1515,1976-02-20,1976-02-20
1516,1976-02-21,1976-02-21
1517,1976-02-24,1976-02-24
1518,1976-02-26,1976-02-26
1519,1976-02-27,1976-02-27
1520,1976-03-04,1976-03-04
1521,1976-03-20,1976-03-20
1522,1976-03-24,1976-03-24
1523,1976-11-23,1976-11-23
1524,1976-11-24,1976-11-24
1525,1976-11-27,1976-11-27
1526,1976-11-29,1976-11-29
1527,1976-11-30,1976-11-30
1528,1976-12-09,1976-12-09
1536,1976-12-12,1976-12-12
1537,1976-12-19,1976-12-19
1538,1976-12-26,1976-12-26
1558,1976-12-27,1976-12-27
1598,1976-12-28,1976-12-28
1627,1976-12-29,1976-12-29
1662,1976-12-30,1976-12-30
1676,1976-12-31,1976-12-31
1698,1977-01-01,1977-01-01
1735,1977-01-02,1977-01-02
1763,1977-01-03,1977-01-03
1787,1977-01-04,1977-01-04
1824,1977-01-05,1977-01-05
1838,1977-01-06,1977-01-06
1867,1977-01-07,1977-01-07
1869,1977-01-08,1977-01-08
1870,1977-01-10,1977-01-10
1871,1977-01-12,1977-01-12
1882,1977-01-13,1977-01-13
1896,1977-01-14,1977-01-14
1926,1977-01-15,1977-01-15
1931,1977-01-16,1977-01-16
1945,1977-01-17,1977-01-17
1965,1977-01-18,1977-01-18
1974,1977-01-19,1977-01-19
1992,1977-01-20,1977-01-20
2006,1977-01-21,1977-01-21
2016,1977-01-22,1977-01-22
2027,1977-01-23,1977-01-23
2045,1977-01-24,1977-01-24
2061,1977-01-27,1977-01-27
2067,1977-01-28,1977-01-28
2091,1977-01-29,1977-01-29
2127,1977-01-30,1977-01-30
2151,1977-01-31,1977-01-31
2189,1977-02-01,1977-02-01
2214,1977-02-02,1977-02-02
2236,1977-02-03,1977-02-03
2264,1977-02-04,1977-02-04
2283,1977-02-05,1977-02-05
2310,1977-02-06,1977-02-06
2339,1977-02-07,1977-02-07
2358,1977-02-08,1977-02-08
2368,1977-02-11,1977-02-11
2377,1977-02-14,1977-02-14
2378,1977-02-15,1977-02-15
2388,1977-02-16,1977-02-16
2436,1977-02-17,1977-02-17
2483,1977-02-18,1977-02-18
2515,1977-02-19,1977-02-19
2539,1977-02-22,1977-02-22
2556,1977-03-04,1977-03-04
2561,1977-03-05,1977-03-05
2571,1977-11-30,1977-11-30
2574,1977-12-01,1977-12-01
2575,1977-12-21,1977-12-21
2576,1977-12-22,1977-12-22
2581,1977-12-23,1977-12-23
2582,1977-12-26,1977-12-26
2594,1977-12-27,1977-12-27
2595,1977-12-28,1977-12-28
2598,1978-01-03,1978-01-03
2599,1978-01-04,1978-01-04
2603,1978-01-05,1978-01-05
2604,1978-01-10,1978-01-10
2609,1978-01-16,1978-01-16
2614,1978-01-17,1978-01-17
2618,1978-01-19,1978-01-19
2624,1978-01-20,1978-01-20
2634,1978-01-21,1978-01-21
2635,1978-01-22,1978-01-22
2657,1978-01-23,1978-01-23
2670,1978-01-28,1978-01-28
2671,1978-01-31,1978-01-31
2699,1978-02-01,1978-02-01
2728,1978-02-02,1978-02-02
2757,1978-02-03,1978-02-03
2783,1978-02-04,1978-02-04
2794,1978-02-13,1978-02-13
2796,1978-02-14,1978-02-14
2797,1978-02-15,1978-02-15
2821,1978-02-16,1978-02-16
2844,1978-02-17,1978-02-17
2857,1978-02-18,1978-02-18
2878,1978-02-20,1978-02-20
2879,1978-02-22,1978-02-22
2880,1978-02-24,1978-02-24
2881,1978-03-01,1978-03-01
2890,1978-03-05,1978-03-05
2891,1978-03-11,1978-03-11
2892,1978-03-12,1978-03-12
2893,1978-03-13,1978-03-13
2894,1978-03-15,1978-03-15
2895,1978-11-29,1978-11-29
2897,1978-12-19,1978-12-19
2898,1978-12-20,1978-12-20
2900,1978-12-21,1978-12-21
2904,1978-12-23,1978-12-23
2905,1978-12-24,1978-12-24
2908,1978-12-30,1978-12-30
2925,1978-12-31,1978-12-31
2940,1979-01-01,1979-01-01
2950,1979-01-02,1979-01-02
2955,1979-01-06,1979-01-06
2956,1979-01-14,1979-01-14
2957,1979-01-15,1979-01-15
2963,1979-01-16,1979-01-16
2970,1979-01-19,1979-01-19
2982,1979-01-20,1979-01-20
2983,1979-01-22,1979-01-22
2996,1979-02-01,1979-02-01
2998,1979-02-02,1979-02-02
3021,1979-02-03,1979-02-03
3033,1979-02-04,1979-02-04
3043,1979-02-05,1979-02-05
3056,1979-02-15,1979-02-15
3057,1979-02-28,1979-02-28
3058,1979-03-01,1979-03-01
3059,1979-03-02,1979-03-02
3060,1979-03-03,1979-03-03
3061,1979-03-04,1979-03-04
3062,1979-04-30,1979-04-30
3063,1979-11-14,1979-11-14
3071,1979-11-24,1979-11-24
3072,1979-11-30,1979-11-30
3073,1979-12-03,1979-12-03
3074,1979-12-11,1979-12-11
3075,1979-12-12,1979-12-12
3076,1979-12-13,1979-12-13
3077,1979-12-17,1979-12-17
3078,1979-12-22,1979-12-22
3079,1979-12-24,1979-12-24
3084,1979-12-25,1979-12-25
3087,1979-12-26,1979-12-26
3095,1979-12-27,1979-12-27
3102,1979-12-28,1979-12-28
